file,row,predicted_alarm,predicted_alarm_label
FOC_20190801_06,287,0,Normal
FOC_20190801_06,288,0,Normal
FOC_20190801_06,289,0,Normal
FOC_20190801_06,290,0,Normal
FOC_20190801_06,291,0,Normal
FOC_20190801_06,292,0,Normal
FOC_20190801_06,293,0,Normal
FOC_20190801_06,294,0,Normal
FOC_20190801_06,295,0,Normal
FOC_20190801_06,296,0,Normal
FOC_20190801_06,297,0,Normal
FOC_20190801_06,298,0,Normal
FOC_20190801_06,299,0,Normal
FOC_20190801_06,300,0,Normal
FOC_20190801_06,301,0,Normal
FOC_20190801_06,302,0,Normal
FOC_20190801_06,303,0,Normal
FOC_20190801_06,304,0,Normal
FOC_20190801_06,305,0,Normal
FOC_20190801_06,306,0,Normal
FOC_20190801_06,307,0,Normal
FOC_20190801_06,308,0,Normal
FOC_20190801_06,309,0,Normal
FOC_20190801_06,310,0,Normal
FOC_20190801_06,311,0,Normal
FOC_20190801_06,312,0,Normal
FOC_20190801_06,313,0,Normal
FOC_20190801_06,314,0,Normal
FOC_20190801_06,315,0,Normal
FOC_20190801_06,316,0,Normal
FOC_20190801_06,317,0,Normal
FOC_20190801_06,318,0,Normal
FOC_20190801_06,319,0,Normal
FOC_20190801_06,320,0,Normal
FOC_20190801_06,321,0,Normal
FOC_20190801_06,322,0,Normal
FOC_20190801_06,323,0,Normal
FOC_20190801_06,324,0,Normal
FOC_20190801_06,325,0,Normal
FOC_20190801_06,326,0,Normal
FOC_20190801_06,327,0,Normal
FOC_20190801_06,328,0,Normal
FOC_20190801_06,329,0,Normal
FOC_20190801_06,330,0,Normal
FOC_20190801_06,331,0,Normal
FOC_20190801_06,332,0,Normal
FOC_20190801_06,333,0,Normal
FOC_20190801_06,334,0,Normal
FOC_20190801_06,335,0,Normal
FOC_20190801_06,336,0,Normal
FOC_20190801_06,337,0,Normal
FOC_20190801_06,338,0,Normal
FOC_20190801_06,339,0,Normal
FOC_20190801_06,340,0,Normal
FOC_20190801_06,341,0,Normal
FOC_20190801_06,342,0,Normal
FOC_20190801_06,343,0,Normal
FOC_20190801_06,344,0,Normal
FOC_20190801_06,345,0,Normal
FOC_20190801_06,346,0,Normal
FOC_20190801_06,347,0,Normal
FOC_20190801_06,348,0,Normal
FOC_20190801_06,349,0,Normal
FOC_20190801_06,350,0,Normal
FOC_20190801_06,351,0,Normal
FOC_20190801_06,352,0,Normal
FOC_20190801_06,353,0,Normal
FOC_20190801_06,354,0,Normal
FOC_20190801_06,355,0,Normal
FOC_20190801_06,356,0,Normal
FOC_20190801_06,357,0,Normal
FOC_20190801_06,358,0,Normal
FOC_20190801_06,359,0,Normal
FOC_20190801_06,360,0,Normal
FOC_20190801_06,361,0,Normal
FOC_20190801_06,362,0,Normal
FOC_20190801_06,363,0,Normal
FOC_20190801_06,364,0,Normal
FOC_20190801_06,365,0,Normal
FOC_20190801_06,366,0,Normal
FOC_20190801_06,367,0,Normal
FOC_20190801_06,368,0,Normal
FOC_20190801_06,369,0,Normal
FOC_20190801_06,370,0,Normal
FOC_20190801_06,371,0,Normal
FOC_20190801_06,372,0,Normal
FOC_20190801_06,373,0,Normal
FOC_20190801_06,374,0,Normal
FOC_20190801_06,375,0,Normal
FOC_20190801_06,376,0,Normal
FOC_20190801_06,377,0,Normal
FOC_20190801_06,378,0,Normal
FOC_20190801_06,379,0,Normal
FOC_20190801_06,380,0,Normal
FOC_20190801_06,381,0,Normal
FOC_20190801_06,382,0,Normal
FOC_20190801_06,383,0,Normal
FOC_20190801_06,384,0,Normal
FOC_20190801_06,385,0,Normal
FOC_20190801_06,386,0,Normal
FOC_20190801_06,387,0,Normal
FOC_20190801_06,388,0,Normal
FOC_20190801_06,389,0,Normal
FOC_20190801_06,390,0,Normal
FOC_20190801_06,391,0,Normal
FOC_20190801_06,392,0,Normal
FOC_20190801_06,393,0,Normal
FOC_20190801_06,394,0,Normal
FOC_20190801_06,395,0,Normal
FOC_20190801_06,396,0,Normal
FOC_20190801_06,397,0,Normal
FOC_20190801_06,398,0,Normal
FOC_20190801_06,399,0,Normal
FOC_20190801_06,400,0,Normal
FOC_20190801_06,401,0,Normal
FOC_20190801_06,402,0,Normal
FOC_20190801_06,403,0,Normal
FOC_20190801_06,404,0,Normal
FOC_20190801_06,405,0,Normal
FOC_20190801_06,406,0,Normal
FOC_20190801_06,407,0,Normal
FOC_20190801_06,408,0,Normal
FOC_20190801_06,409,0,Normal
FOC_20190801_06,410,0,Normal
FOC_20190801_06,411,0,Normal
FOC_20190801_06,412,0,Normal
FOC_20190801_06,413,0,Normal
FOC_20190801_06,414,0,Normal
FOC_20190801_06,415,0,Normal
FOC_20190801_06,416,0,Normal
FOC_20190801_06,417,0,Normal
FOC_20190801_06,418,0,Normal
FOC_20190801_06,419,0,Normal
FOC_20190801_06,420,0,Normal
FOC_20190801_06,421,0,Normal
FOC_20190801_06,422,0,Normal
FOC_20190801_06,423,0,Normal
FOC_20190801_06,424,0,Normal
FOC_20190801_06,425,0,Normal
FOC_20190801_06,426,0,Normal
FOC_20190801_06,427,0,Normal
FOC_20190801_06,428,0,Normal
FOC_20190801_06,429,0,Normal
FOC_20190801_06,430,0,Normal
FOC_20190801_06,431,0,Normal
FOC_20190801_06,432,0,Normal
FOC_20190801_06,433,0,Normal
FOC_20190801_06,434,0,Normal
FOC_20190801_06,435,0,Normal
FOC_20190801_06,436,0,Normal
FOC_20190801_06,437,0,Normal
FOC_20190801_06,438,0,Normal
FOC_20190801_06,439,0,Normal
FOC_20190801_06,440,0,Normal
FOC_20190801_06,441,0,Normal
FOC_20190801_06,442,0,Normal
FOC_20190801_06,443,0,Normal
FOC_20190801_06,444,0,Normal
FOC_20190801_06,445,0,Normal
FOC_20190801_06,446,0,Normal
FOC_20190801_06,447,0,Normal
FOC_20190801_06,448,0,Normal
FOC_20190801_06,449,0,Normal
FOC_20190801_06,450,0,Normal
FOC_20190801_06,451,0,Normal
FOC_20190801_06,452,0,Normal
FOC_20190801_06,453,0,Normal
FOC_20190801_06,454,0,Normal
FOC_20190801_06,455,0,Normal
FOC_20190801_06,456,0,Normal
FOC_20190801_06,457,0,Normal
FOC_20190801_06,458,0,Normal
FOC_20190801_06,459,0,Normal
FOC_20190801_06,460,0,Normal
FOC_20190801_06,461,0,Normal
FOC_20190801_06,462,0,Normal
FOC_20190801_06,463,0,Normal
FOC_20190801_06,464,0,Normal
FOC_20190801_06,465,0,Normal
