DATE,MOTOR COIL,FRONT IN,REAR_IN,FRONT OUT,REAR OUT,MACHINE TEMP,VIBRATION,VIB-X,VIB-Y,VIB-Z,SPINDLE LOAD,SPINDLE COMMAND SPEED,SPINDLE ACTUAL SPEED,SPINDLE DIRECTION,FEED SPEED,FEED OVERRIDE,FEED ACTUAL SPEED,DI_CUT,JOG OVERRIDE,RAPID OVERRIDE,FEED AXIS STATUS,RELATIVE1,RELATIVE2,RELATIVE3,RELATIVE4,RELATIVE5,RELATIVE6,RELATIVE7,RELATIVE8,ABSOLUTE1,ABSOLUTE2,ABSOLUTE3,ABSOLUTE4,ABSOLUTE5,ABSOLUTE6,ABSOLUTE7,ABSOLUTE8,MACHINE1,MACHINE2,MACHINE3,MACHINE4,MACHINE5,MACHINE6,MACHINE7,MACHINE8,DISTANCE1,DISTANCE2,DISTANCE3,DISTANCE4,DISTANCE5,DISTANCE6,DISTANCE7,DISTANCE8,LOAD1,LOAD2,LOAD3,LOAD4,LOAD5,LOAD6,LOAD7,LOAD8,NC MODE,NC STATUS,SPINDLE POT,SPINDLE PTN,MAIN PROGRAM,EXEC PROGRAM,SEQ NUMBER,MAIN COMMENT,MACHINE ALARM,MACHINE WARNING,EXEC BLOCK,BLOCK COUNTER,SPINDLE FTN,SPINDLE ITN,EMERGENCY,ADDITIONAL INCYCLE STATUS,CUTTING REMOVAL AMOUNT,SPINDLE OVERRIDE,MSPINDLE LOAD
"2019/08/12 09:37:33:103","28.6","","","27.8","26.6","","","0.0","0.0","0.0","1.74","4000","4000","CW","360","100","71.38","1","50.00","100","01000100","-16.72966","-40.48891","-28.63022","5400.0000","0.0003","-40.49084","-28.63038","0.0000","60.26443","25.86238","1.74840","0.0000","0.0000","-40.49084","1.75000","0.0000","-16.72973","-40.49084","-28.63026","0.0000","0.0000","-40.49084","-28.63026","0.0000","0.00000","0.00000","0.00000","0.0000","0.0000","0.00000","0.00000","0.0000","-2","34","-25","0","0","34","-22","0","MEMORY","START","16","50025019","2712","2004","80622","68A314071 2012 -2712 OP2","0","0","N80622 G00 Z4.30000 ","29234","50025019","0","0","-1","","100",""
"2019/08/12 09:37:36:102","28.6","","","27.8","26.6","","","0.0","0.0","0.0","1.83","4000","4000","CW","120","100","57.49","1","50.00","100","01000111","-20.70152","-40.46337","-28.87699","5400.0000","0.0003","-40.46529","-28.87714","0.0000","56.34033","25.81596","1.50000","0.0000","0.0000","-40.46529","1.66800","0.0000","-20.71461","-40.44567","-28.87703","0.0000","0.0000","-40.44567","-28.87703","0.0000","0.00000","0.00000","0.25000","0.0000","0.0000","0.00000","0.00000","0.0000","9","24","5","0","-1","24","4","0","MEMORY","START","16","50025019","2712","2004","80640","68A314071 2012 -2712 OP2","0","0","N80640 Z1.75000 F360. ","29252","50025019","0","0","-1","","100",""
"2019/08/12 09:37:39:125","28.6","","","27.8","26.6","","","0.0","0.0","0.0","1.78","4000","4000","CW","360","100","69.63","1","50.00","100","01000100","-21.37883","-40.55412","-28.83354","5400.0000","0.0003","-40.55605","-28.83369","0.0000","55.61526","25.79717","1.55227","0.0000","0.0000","-40.55605","1.75000","0.0000","-21.37890","-40.55605","-28.83358","0.0000","0.0000","-40.55605","-28.83358","0.0000","0.00000","0.00000","0.20655","0.0000","0.0000","0.00000","0.00000","0.0000","-19","39","43","0","-1","40","39","1","MEMORY","START","16","50025019","2712","2004","80659","68A314071 2012 -2712 OP2","0","0","N80659 G00 Z4.30000 ","29271","50025019","0","0","-1","","100",""
"2019/08/12 09:37:42:102","28.6","","","27.8","26.6","","","0.0","0.0","0.0","1.84","4000","3999","CW","360","100","15.87","1","50.00","100","01000111","-22.59630","-40.55760","-28.87699","5400.0000","0.0003","-40.55952","-28.87714","0.0000","54.41310","25.79134","1.50000","0.0000","0.0000","-40.56065","1.70400","0.0000","-22.59637","-40.55952","-28.87703","0.0000","0.0000","-40.55952","-28.87703","0.0000","0.00000","0.00000","0.25000","0.0000","0.0000","0.00000","0.00000","0.0000","-48","18","5","0","-1","18","3","0","MEMORY","START","16","50025019","2712","2004","80690","68A314071 2012 -2712 OP2","0","0","N80690 Z1.75000 F360. ","29302","50025019","0","0","-1","","99.9",""
"2019/08/12 09:37:45:118","28.6","","","27.8","26.6","","","0.0","0.0","0.0","1.84","4000","4000","CW","120","100","68.63","1","50.00","100","00000011","-23.61900","-40.45786","-28.87699","5400.0000","0.0003","-40.45979","-28.87714","0.0000","53.37512","25.89041","1.50000","0.0000","0.0000","-40.46281","1.50000","0.0000","-23.61907","-40.45979","-28.87703","0.0000","0.0000","-40.45979","-28.87703","0.0000","0.00119","-0.11753","0.00000","0.0000","0.0000","0.00000","0.00000","0.0000","-18","28","5","-1","1","27","4","-1","MEMORY","START","16","50025019","2712","2004","80727","68A314071 2012 -2712 OP2","0","0","N80727 Z1.75000 F360. ","29339","50025019","0","0","-1","","100",""
"2019/08/12 09:37:48:143","28.6","","","27.8","26.6","","","0.0","0.0","0.0","1.77","4000","3999","CW","120","100","22.40","1","50.00","100","00000011","-22.67722","-44.47021","-28.87699","5400.0000","0.0003","-44.47213","-28.87714","0.0000","54.41067","21.87752","1.50000","0.0000","0.0000","-44.47570","1.50000","0.0000","-22.67729","-44.47213","-28.87703","0.0000","0.0000","-44.47213","-28.87703","0.0000","0.00000","0.10990","0.00000","0.0000","0.0000","0.00000","0.00000","0.0000","-13","-7","5","-1","0","-7","5","1","MEMORY","START","16","50025019","2712","2004","80761","68A314071 2012 -2712 OP2","0","0","N80761 Z1.75000 F360. ","29373","50025019","0","0","-1","","99.9",""
"2019/08/12 09:37:51:131","28.6","","","27.8","26.6","","","0.0","0.0","0.0","1.96","4000","4000","CW","120","100","23.62","1","50.00","100","00000011","-21.29097","-44.46597","-28.87699","5400.0000","0.0003","-44.46790","-28.87714","0.0000","55.70312","21.88532","1.50000","0.0000","0.0000","-44.46790","1.50000","0.0000","-21.29104","-44.46790","-28.87703","0.0000","0.0000","-44.46790","-28.87703","0.0000","-0.06197","0.10062","0.00000","0.0000","0.0000","0.00000","0.00000","0.0000","-6","30","6","-2","0","30","6","0","MEMORY","START","16","50025019","2712","2004","80778","68A314071 2012 -2712 OP2","0","0","N80778 Z1.75000 F360. ","29390","50025019","0","0","-1","","100",""
"2019/08/12 09:37:54:107","28.6","","","27.8","26.6","","","0.0","0.0","0.0","1.85","4000","4000","CW","60","100","60.00","1","50.00","100","00000001","-15.74825","-44.99538","-28.87699","5400.0000","0.0003","-44.99731","-28.87714","0.0000","61.26183","21.35591","1.50000","0.0000","0.0000","-44.99731","1.50000","0.0000","-15.74833","-44.99731","-28.87703","0.0000","0.0000","-44.99731","-28.87703","0.0000","0.15643","0.00000","0.00000","0.0000","0.0000","0.00000","0.00000","0.0000","-21","24","5","-1","-1","24","6","1","MEMORY","START","16","50025019","2712","2004","80786","68A314071 2012 -2712 OP2","0","0","N80786 Z1.75000 F360. ","29398","50025019","0","0","-1","","100",""
"2019/08/12 09:37:57:103","28.6","","","27.8","26.6","","","0.0","0.0","0.0","1.88","4000","4000","CW","360","100","651.26","0","50.00","100","00000011","-29.60907","-41.22716","-26.07699","5400.0000","0.0003","-41.22908","-26.07714","0.0000","47.30685","25.14466","4.30000","0.0000","0.0000","-41.20856","4.30000","0.0000","-29.60914","-41.22908","-26.07703","0.0000","0.0000","-41.22908","-26.07703","0.0000","0.00000","0.00000","0.00000","0.0000","0.0000","0.00000","0.00000","0.0000","36","52","-9","0","1","51","-7","0","MEMORY","START","16","50025019","2712","2004","80789","68A314071 2012 -2712 OP2","0","0","N80789 Z1.75000 ","29401","50025019","0","0","-1","","100",""
"2019/08/12 09:38:00:111","28.6","","","27.8","26.6","","","0.0","0.0","0.0","1.95","4000","4000","CW","360","100","158.41","0","50.00","100","00000011","-31.43518","-40.84143","-26.07699","5400.0000","0.0003","-40.84336","-26.07714","0.0000","45.52618","25.50090","4.30000","0.0000","0.0000","-40.85232","4.30000","0.0000","-31.43525","-40.84336","-26.07703","0.0000","0.0000","-40.84336","-26.07703","0.0000","0.00000","0.00000","0.00000","0.0000","0.0000","0.00000","0.00000","0.0000","61","3","-4","-1","-1","3","-8","0","MEMORY","START","16","50025019","2712","2004","80807","68A314071 2012 -2712 OP2","0","0","N80807 Z1.75000 ","29419","50025019","0","0","-1","","100",""
"2019/08/12 09:38:03:119","28.6","","","27.7","26.6","","","0.0","0.0","0.0","1.86","4000","4000","CW","360","100","540.56","0","50.00","100","00000011","-34.13664","-40.82948","-26.07699","5400.0000","0.0003","-40.83140","-26.07714","0.0000","42.85745","25.52182","4.30000","0.0000","0.0000","-40.83140","4.30000","0.0000","-33.80075","-40.81240","-26.07703","0.0000","0.0000","-40.81240","-26.07703","0.0000","-3.68001","-0.20820","0.00000","0.0000","0.0000","0.00000","0.00000","0.0000","36","11","-5","-1","-1","11","-6","1","MEMORY","START","16","50025019","2712","2004","80825","68A314071 2012 -2712 OP2","0","0","N80825 X39.17744 Y25.31362 ","29437","50025019","0","0","-1","","100",""
"2019/08/12 09:38:06:115","28.6","","","27.7","26.6","","","0.0","0.0","0.0","1.85","4000","4000","CW","360","100","322.56","0","50.00","100","01000100","-37.85818","-40.79511","-26.07859","5400.0000","0.0003","-40.79704","-26.07874","0.0000","39.13591","25.55618","4.30000","0.0000","0.0000","-40.79704","4.30000","0.0000","-37.85825","-40.79704","-26.07863","0.0000","0.0000","-40.79704","-26.07863","0.0000","0.00000","0.00000","0.00000","0.0000","0.0000","0.00000","0.00000","0.0000","18","27","-96","-1","-1","27","-100","1","MEMORY","START","16","50025019","2712","2004","80843","68A314071 2012 -2712 OP2","0","0","N80843 X38.32895 Y25.31612 ","29455","50025019","0","0","-1","","100",""
"2019/08/12 09:38:09:115","28.6","","","27.7","26.6","","","0.0","0.0","0.0","1.82","4000","4000","CW","360","100","8.91","0","50.00","100","00000011","-38.72696","-40.81838","-26.07699","5400.0000","0.0003","-40.82030","-26.07714","0.0000","38.21140","25.52546","4.30000","0.0000","0.0000","-40.82776","4.30000","0.0000","-38.72703","-40.82030","-26.07703","0.0000","0.0000","-40.82030","-26.07703","0.0000","-2.08229","-0.27870","0.00000","0.0000","0.0000","0.00000","0.00000","0.0000","182","9","1","-1","-1","9","-3","1","MEMORY","START","16","50025019","2712","2004","80864","68A314071 2012 -2712 OP2","0","0","N80864 X36.18484 Y25.25422 ","29476","50025019","0","0","-1","","100",""
